"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Spp1",1.61577322800485e-234,4.05926906996693,0.257,0.015,1.5655226806139e-230,"16","Spp1"
"Npy4",1.15593439591019e-210,2.60890504010435,0.941,0.313,1.11998483619739e-206,"16","Npy"
"Fgf11",3.52515832091908e-208,3.21408183222865,0.661,0.127,3.4155258971385e-204,"16","Fgf11"
"Gfra12",2.07645765641578e-204,2.77016496413287,0.802,0.21,2.01187982330125e-200,"16","Gfra1"
"Gad23",9.84902348169233e-197,2.68467378623856,0.997,0.573,9.5427188514117e-193,"16","Gad2"
"AI5934425",1.10605174965897e-189,2.55039483247871,0.988,0.643,1.07165354024458e-185,"16","AI593442"
"Inhbb3",3.98547529423781e-169,3.11656532631439,0.599,0.124,3.86152701258701e-165,"16","Inhbb"
"Atp1b17",3.73300318247107e-168,1.52008512771372,1,0.999,3.61690678349622e-164,"16","Atp1b1"
"Nefh3",8.4739276385588e-150,2.55451733958534,0.941,0.528,8.21038848899962e-146,"16","Nefh"
"Sema3e5",3.44940909352204e-134,2.32159457022274,0.735,0.232,3.3421324707135e-130,"16","Sema3e"
"Cplx16",5.85829119299547e-130,1.39020870092358,1,0.929,5.67609833689332e-126,"16","Cplx1"
"Rab373",4.24053369743887e-129,1.631493083064,0.752,0.199,4.10865309944852e-125,"16","Rab37"
"Zfp385a4",8.70582152756174e-119,2.05770236309607,0.9,0.528,8.43507047805457e-115,"16","Zfp385a"
"Cygb4",4.70331974326072e-112,2.19606789561051,0.69,0.228,4.55704649924531e-108,"16","Cygb"
"Mdh14",5.92351375779463e-109,1.04177749410521,1,0.99,5.73929247992721e-105,"16","Mdh1"
"Esrrg1",3.14169703388692e-96,2.53744759045461,0.49,0.127,3.04399025613303e-92,"16","Esrrg"
"Podxl25",3.33948753773744e-95,1.57469709344021,0.917,0.666,3.2356294753138e-91,"16","Podxl2"
"Folr1",0,8.55432014355913,0.744,0.018,0,"17","Folr1"
"Ttr",0,10.4684148295071,0.76,0.037,0,"17","Ttr"
"Sostdc1",0,9.38693436313311,0.571,0.013,0,"17","Sostdc1"
"Cfap100",0,5.53295760430445,0.565,0.018,0,"17","Cfap100"
"Foxj1",0,4.85963102699839,0.565,0.038,0,"17","Foxj1"
"Dnali1",0,4.47513184373894,0.565,0.041,0,"17","Dnali1"
"Capsl",0,5.45990794919621,0.457,0.014,0,"17","Capsl"
"Fam183b",0,5.24088453755656,0.442,0.016,0,"17","Fam183b"
"Prlr",0,7.24141654324908,0.442,0.028,0,"17","Prlr"
"Dnah1",0,5.13763057575954,0.429,0.016,0,"17","Dnah1"
"Col8a2",0,6.58412673737039,0.42,0.013,0,"17","Col8a2"
"Calml4",0,6.55173095578433,0.41,0.009,0,"17","Calml4"
"Fam216b",0,5.5379427491358,0.401,0.012,0,"17","Fam216b"
"Fam166b",0,5.29780728090578,0.382,0.012,0,"17","Fam166b"
"1700016K19Rik",0,5.65052109864705,0.379,0.009,0,"17","1700016K19Rik"
"Lama3",0,5.33622492003312,0.391,0.022,0,"17","Lama3"
"Ttc25",0,4.53171162788946,0.379,0.022,0,"17","Ttc25"
"Slc4a5",0,8.11638188647612,0.356,0.004,0,"17","Slc4a5"
"Aqp1",0,7.4145987874217,0.35,0.009,0,"17","Aqp1"
"Itgb6",0,6.63985264547276,0.341,0.006,0,"17","Itgb6"
"Sim1",0,8.96939623036185,1,0.005,0,"18","Sim1"
"Dach12",2.09050188291607e-65,4.35793457565031,1,0.079,2.02548727435738e-61,"18","Dach1"
"Tac2",6.07279592938118e-64,6.63951204842202,1,0.087,5.88393197597742e-60,"18","Tac2"
"Gpr83",6.43837699618544e-61,4.51994870029717,0.957,0.077,6.23814347160407e-57,"18","Gpr83"
